2026-06-27 23:13:20.800 +05:30 [INF] ApiGateway | Starting API Gateway...
2026-06-27 23:13:23.893 +05:30 [INF] ApiGateway | API Gateway started successfully on port 5000
2026-06-27 23:13:27.011 +05:30 [INF] ApiGateway | Now listening on: http://localhost:5000
2026-06-27 23:13:27.539 +05:30 [INF] ApiGateway | Application started. Press Ctrl+C to shut down.
2026-06-27 23:13:27.654 +05:30 [INF] ApiGateway | Hosting environment: Development
2026-06-27 23:13:27.768 +05:30 [INF] ApiGateway | Content root path: C:\Users\2492194\Downloads\backend\backend\ApiGateway
2026-06-27 23:15:25.015 +05:30 [DBG] ApiGateway | requestId: 0HNMKEFF3FHLH:00000001, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-27 23:15:25.032 +05:30 [DBG] ApiGateway | requestId: 0HNMKEFF3FHLH:00000001, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Hotels'
2026-06-27 23:15:25.051 +05:30 [DBG] ApiGateway | requestId: 0HNMKEFF3FHLH:00000001, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/hotels/{everything}'
2026-06-27 23:15:25.079 +05:30 [INF] ApiGateway | requestId: 0HNMKEFF3FHLH:00000001, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/hotels/{everything}'
2026-06-27 23:15:25.086 +05:30 [INF] ApiGateway | requestId: 0HNMKEFF3FHLH:00000001, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/Hotels'.'
2026-06-27 23:15:25.092 +05:30 [INF] ApiGateway | requestId: 0HNMKEFF3FHLH:00000001, previousRequestId: No PreviousRequestId, message: '/api/hotels/{everything} route does not require user to be authorized'
2026-06-27 23:15:25.112 +05:30 [DBG] ApiGateway | requestId: 0HNMKEFF3FHLH:00000001, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5002/api/hotels'
2026-06-27 23:15:29.729 +05:30 [INF] ApiGateway | requestId: 0HNMKEFF3FHLH:00000001, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5002/api/hotels.'
2026-06-27 23:15:29.731 +05:30 [DBG] ApiGateway | requestId: 0HNMKEFF3FHLH:00000001, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-27 23:15:29.751 +05:30 [DBG] ApiGateway | requestId: 0HNMKEFF3FHLH:00000001, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-27 23:15:29.773 +05:30 [DBG] ApiGateway | requestId: 0HNMKEFF3FHLH:00000001, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-27 23:21:55.919 +05:30 [DBG] ApiGateway | requestId: 0HNMKEFF3FHLI:00000001, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-27 23:21:55.930 +05:30 [DBG] ApiGateway | requestId: 0HNMKEFF3FHLI:00000001, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Hotels'
2026-06-27 23:21:55.934 +05:30 [DBG] ApiGateway | requestId: 0HNMKEFF3FHLI:00000001, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/hotels/{everything}'
2026-06-27 23:21:55.937 +05:30 [INF] ApiGateway | requestId: 0HNMKEFF3FHLI:00000001, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/hotels/{everything}'
2026-06-27 23:21:55.942 +05:30 [INF] ApiGateway | requestId: 0HNMKEFF3FHLI:00000001, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/Hotels'.'
2026-06-27 23:21:55.946 +05:30 [INF] ApiGateway | requestId: 0HNMKEFF3FHLI:00000001, previousRequestId: No PreviousRequestId, message: '/api/hotels/{everything} route does not require user to be authorized'
2026-06-27 23:21:55.949 +05:30 [DBG] ApiGateway | requestId: 0HNMKEFF3FHLI:00000001, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5002/api/hotels'
2026-06-27 23:21:56.337 +05:30 [INF] ApiGateway | requestId: 0HNMKEFF3FHLI:00000001, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5002/api/hotels.'
2026-06-27 23:21:56.339 +05:30 [DBG] ApiGateway | requestId: 0HNMKEFF3FHLI:00000001, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-27 23:21:56.342 +05:30 [DBG] ApiGateway | requestId: 0HNMKEFF3FHLI:00000001, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-27 23:21:56.344 +05:30 [DBG] ApiGateway | requestId: 0HNMKEFF3FHLI:00000001, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-27 23:22:12.134 +05:30 [DBG] ApiGateway | requestId: 0HNMKEFF3FHLI:00000003, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-27 23:22:12.137 +05:30 [DBG] ApiGateway | requestId: 0HNMKEFF3FHLI:00000003, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/auth/login'
2026-06-27 23:22:12.156 +05:30 [DBG] ApiGateway | requestId: 0HNMKEFF3FHLI:00000003, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-27 23:22:12.162 +05:30 [INF] ApiGateway | requestId: 0HNMKEFF3FHLI:00000003, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-27 23:22:12.164 +05:30 [INF] ApiGateway | requestId: 0HNMKEFF3FHLI:00000003, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/auth/login'.'
2026-06-27 23:22:12.166 +05:30 [INF] ApiGateway | requestId: 0HNMKEFF3FHLI:00000003, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-06-27 23:22:12.170 +05:30 [DBG] ApiGateway | requestId: 0HNMKEFF3FHLI:00000003, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/login'
