2026-06-25 10:27:33.461 +05:30 [INF] ApiGateway | Starting API Gateway...
2026-06-25 10:27:38.251 +05:30 [INF] ApiGateway | API Gateway started successfully on port 5000
2026-06-25 10:27:40.036 +05:30 [INF] ApiGateway | Now listening on: http://localhost:5010
2026-06-25 10:27:40.403 +05:30 [INF] ApiGateway | Application started. Press Ctrl+C to shut down.
2026-06-25 10:27:40.438 +05:30 [INF] ApiGateway | Hosting environment: Development
2026-06-25 10:27:40.458 +05:30 [INF] ApiGateway | Content root path: C:\Users\2492313\Downloads\Sruthi_frontend\updated-UI-main\backend\ApiGateway
2026-06-25 10:31:29.767 +05:30 [INF] ApiGateway | Starting API Gateway...
2026-06-25 10:31:33.694 +05:30 [INF] ApiGateway | API Gateway started successfully on port 5000
2026-06-25 10:31:36.299 +05:30 [INF] ApiGateway | Now listening on: http://localhost:5000
2026-06-25 10:31:39.282 +05:30 [INF] ApiGateway | Application started. Press Ctrl+C to shut down.
2026-06-25 10:31:39.608 +05:30 [INF] ApiGateway | Hosting environment: Development
2026-06-25 10:31:39.991 +05:30 [INF] ApiGateway | Content root path: C:\Users\2492313\Downloads\Sruthi_frontend\updated-UI-main\backend\ApiGateway
2026-06-25 10:32:20.477 +05:30 [DBG] ApiGateway | requestId: 0HNMIERNQ4V57:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-25 10:32:20.488 +05:30 [DBG] ApiGateway | requestId: 0HNMIERNQ4V57:00000002, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/auth/register'
2026-06-25 10:32:20.515 +05:30 [DBG] ApiGateway | requestId: 0HNMIERNQ4V57:00000002, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-25 10:32:20.542 +05:30 [INF] ApiGateway | requestId: 0HNMIERNQ4V57:00000002, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-25 10:32:20.548 +05:30 [INF] ApiGateway | requestId: 0HNMIERNQ4V57:00000002, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/auth/register'.'
2026-06-25 10:32:20.554 +05:30 [INF] ApiGateway | requestId: 0HNMIERNQ4V57:00000002, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-06-25 10:32:20.572 +05:30 [DBG] ApiGateway | requestId: 0HNMIERNQ4V57:00000002, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/register'
