2026-06-28 00:06:42.182 +05:30 [INF] ApiGateway | Starting API Gateway...
2026-06-28 00:06:47.723 +05:30 [INF] ApiGateway | API Gateway started successfully on port 5000
2026-06-28 00:06:57.450 +05:30 [INF] ApiGateway | Now listening on: http://localhost:5000
2026-06-28 00:07:00.222 +05:30 [INF] ApiGateway | Application started. Press Ctrl+C to shut down.
2026-06-28 00:07:00.397 +05:30 [INF] ApiGateway | Hosting environment: Development
2026-06-28 00:07:00.605 +05:30 [INF] ApiGateway | Content root path: C:\Users\2492194\Downloads\backend\backend\ApiGateway
2026-06-28 00:07:04.339 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKH:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-28 00:07:04.339 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKJ:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-28 00:07:04.339 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKI:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-28 00:07:04.339 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKG:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-28 00:07:04.362 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKJ:00000002, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Loyalty/history'
2026-06-28 00:07:04.362 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKI:00000002, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Loyalty/account'
2026-06-28 00:07:04.362 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKH:00000002, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Bookings/my-bookings'
2026-06-28 00:07:04.365 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKG:00000002, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/payments/my-payments'
2026-06-28 00:07:04.430 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKI:00000002, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/loyalty/{everything}'
2026-06-28 00:07:04.430 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKG:00000002, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/payments/{everything}'
2026-06-28 00:07:04.430 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKJ:00000002, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/loyalty/{everything}'
2026-06-28 00:07:04.430 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKH:00000002, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/bookings/{everything}'
2026-06-28 00:07:04.486 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKH:00000002, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/bookings/{everything}'
2026-06-28 00:07:04.486 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKJ:00000002, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/loyalty/{everything}'
2026-06-28 00:07:04.486 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKI:00000002, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/loyalty/{everything}'
2026-06-28 00:07:04.486 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKG:00000002, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/payments/{everything}'
2026-06-28 00:07:04.500 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKH:00000002, previousRequestId: No PreviousRequestId, message: 'The path '/api/Bookings/my-bookings' is an authenticated route! AuthenticationMiddleware checking if client is authenticated...'
2026-06-28 00:07:04.529 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKJ:00000002, previousRequestId: No PreviousRequestId, message: 'The path '/api/Loyalty/history' is an authenticated route! AuthenticationMiddleware checking if client is authenticated...'
2026-06-28 00:07:04.534 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKI:00000002, previousRequestId: No PreviousRequestId, message: 'The path '/api/Loyalty/account' is an authenticated route! AuthenticationMiddleware checking if client is authenticated...'
2026-06-28 00:07:04.544 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKG:00000002, previousRequestId: No PreviousRequestId, message: 'The path '/api/payments/my-payments' is an authenticated route! AuthenticationMiddleware checking if client is authenticated...'
2026-06-28 00:07:04.601 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKH:00000002, previousRequestId: No PreviousRequestId, message: 'Client has been authenticated for path '/api/Bookings/my-bookings' by 'AuthenticationTypes.Federation' scheme.'
2026-06-28 00:07:04.601 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKI:00000002, previousRequestId: No PreviousRequestId, message: 'Client has been authenticated for path '/api/Loyalty/account' by 'AuthenticationTypes.Federation' scheme.'
2026-06-28 00:07:04.601 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKJ:00000002, previousRequestId: No PreviousRequestId, message: 'Client has been authenticated for path '/api/Loyalty/history' by 'AuthenticationTypes.Federation' scheme.'
2026-06-28 00:07:04.606 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKG:00000002, previousRequestId: No PreviousRequestId, message: 'Client has been authenticated for path '/api/payments/my-payments' by 'AuthenticationTypes.Federation' scheme.'
2026-06-28 00:07:04.625 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKI:00000002, previousRequestId: No PreviousRequestId, message: 'route is authenticated scopes must be checked'
2026-06-28 00:07:04.625 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKH:00000002, previousRequestId: No PreviousRequestId, message: 'route is authenticated scopes must be checked'
2026-06-28 00:07:04.663 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKJ:00000002, previousRequestId: No PreviousRequestId, message: 'route is authenticated scopes must be checked'
2026-06-28 00:07:04.675 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKG:00000002, previousRequestId: No PreviousRequestId, message: 'route is authenticated scopes must be checked'
2026-06-28 00:07:04.682 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKI:00000002, previousRequestId: No PreviousRequestId, message: 'user scopes is authorized calling next authorization checks'
2026-06-28 00:07:04.683 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKH:00000002, previousRequestId: No PreviousRequestId, message: 'user scopes is authorized calling next authorization checks'
2026-06-28 00:07:04.689 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKJ:00000002, previousRequestId: No PreviousRequestId, message: 'user scopes is authorized calling next authorization checks'
2026-06-28 00:07:04.696 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKG:00000002, previousRequestId: No PreviousRequestId, message: 'user scopes is authorized calling next authorization checks'
2026-06-28 00:07:04.700 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKI:00000002, previousRequestId: No PreviousRequestId, message: '/api/loyalty/{everything} route does not require user to be authorized'
2026-06-28 00:07:04.704 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKH:00000002, previousRequestId: No PreviousRequestId, message: '/api/bookings/{everything} route does not require user to be authorized'
2026-06-28 00:07:04.711 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKJ:00000002, previousRequestId: No PreviousRequestId, message: '/api/loyalty/{everything} route does not require user to be authorized'
2026-06-28 00:07:04.718 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKG:00000002, previousRequestId: No PreviousRequestId, message: '/api/payments/{everything} route does not require user to be authorized'
2026-06-28 00:07:04.763 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKJ:00000002, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5007/api/loyalty/history'
2026-06-28 00:07:04.763 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKG:00000002, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5005/api/payments/my-payments'
2026-06-28 00:07:04.763 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKH:00000002, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5004/api/bookings/my-bookings'
2026-06-28 00:07:04.763 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKI:00000002, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5007/api/loyalty/account'
2026-06-28 00:07:12.044 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKK:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-28 00:07:12.054 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKK:00000002, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Hotels'
2026-06-28 00:07:12.059 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKK:00000002, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/hotels/{everything}'
2026-06-28 00:07:12.065 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKK:00000002, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/hotels/{everything}'
2026-06-28 00:07:12.078 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKK:00000002, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/Hotels'.'
2026-06-28 00:07:12.086 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKK:00000002, previousRequestId: No PreviousRequestId, message: '/api/hotels/{everything} route does not require user to be authorized'
2026-06-28 00:07:12.092 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKK:00000002, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5002/api/hotels'
2026-06-28 00:07:13.761 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKG:00000002, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5005/api/payments/my-payments.'
2026-06-28 00:07:13.805 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKG:00000002, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-28 00:07:13.868 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKG:00000002, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-28 00:07:13.976 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKG:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-28 00:07:14.404 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKI:00000002, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5007/api/loyalty/account.'
2026-06-28 00:07:14.404 +05:30 [INF] ApiGateway | requestId: 0HNMKFCAHOJKJ:00000002, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5007/api/loyalty/history.'
2026-06-28 00:07:14.417 +05:30 [DBG] ApiGateway | requestId: 0HNMKFCAHOJKI:00000002, previousRequestId: No PreviousRequestId, message: 'setting http response message'
