2026-06-29 12:42:18.348 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E4:00000006, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/bookings/{everything}'
2026-06-29 12:42:18.348 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E7:00000002, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/payments/{everything}'
2026-06-29 12:42:18.348 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E5:00000002, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/loyalty/{everything}'
2026-06-29 12:42:18.350 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E6:00000002, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/loyalty/{everything}'
2026-06-29 12:42:18.353 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E4:00000006, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/bookings/{everything}'
2026-06-29 12:42:18.355 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E7:00000002, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/payments/{everything}'
2026-06-29 12:42:18.357 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E5:00000002, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/loyalty/{everything}'
2026-06-29 12:42:18.359 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E6:00000002, previousRequestId: No PreviousRequestId, message: 'The path '/api/Loyalty/history' is an authenticated route! AuthenticationMiddleware checking if client is authenticated...'
2026-06-29 12:42:18.361 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E4:00000006, previousRequestId: No PreviousRequestId, message: 'The path '/api/Bookings/my-bookings' is an authenticated route! AuthenticationMiddleware checking if client is authenticated...'
2026-06-29 12:42:18.363 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E7:00000002, previousRequestId: No PreviousRequestId, message: 'The path '/api/payments/my-payments' is an authenticated route! AuthenticationMiddleware checking if client is authenticated...'
2026-06-29 12:42:18.365 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E5:00000002, previousRequestId: No PreviousRequestId, message: 'The path '/api/Loyalty/account' is an authenticated route! AuthenticationMiddleware checking if client is authenticated...'
2026-06-29 12:42:18.369 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E4:00000006, previousRequestId: No PreviousRequestId, message: 'Client has been authenticated for path '/api/Bookings/my-bookings' by 'AuthenticationTypes.Federation' scheme.'
2026-06-29 12:42:18.369 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E6:00000002, previousRequestId: No PreviousRequestId, message: 'Client has been authenticated for path '/api/Loyalty/history' by 'AuthenticationTypes.Federation' scheme.'
2026-06-29 12:42:18.371 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E7:00000002, previousRequestId: No PreviousRequestId, message: 'Client has been authenticated for path '/api/payments/my-payments' by 'AuthenticationTypes.Federation' scheme.'
2026-06-29 12:42:18.372 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E5:00000002, previousRequestId: No PreviousRequestId, message: 'Client has been authenticated for path '/api/Loyalty/account' by 'AuthenticationTypes.Federation' scheme.'
2026-06-29 12:42:18.374 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E4:00000006, previousRequestId: No PreviousRequestId, message: 'route is authenticated scopes must be checked'
2026-06-29 12:42:18.376 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E6:00000002, previousRequestId: No PreviousRequestId, message: 'route is authenticated scopes must be checked'
2026-06-29 12:42:18.378 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E7:00000002, previousRequestId: No PreviousRequestId, message: 'route is authenticated scopes must be checked'
2026-06-29 12:42:18.379 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E5:00000002, previousRequestId: No PreviousRequestId, message: 'route is authenticated scopes must be checked'
2026-06-29 12:42:18.382 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E4:00000006, previousRequestId: No PreviousRequestId, message: 'user scopes is authorized calling next authorization checks'
2026-06-29 12:42:18.383 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E6:00000002, previousRequestId: No PreviousRequestId, message: 'user scopes is authorized calling next authorization checks'
2026-06-29 12:42:18.385 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E7:00000002, previousRequestId: No PreviousRequestId, message: 'user scopes is authorized calling next authorization checks'
2026-06-29 12:42:18.386 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E5:00000002, previousRequestId: No PreviousRequestId, message: 'user scopes is authorized calling next authorization checks'
2026-06-29 12:42:18.388 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E4:00000006, previousRequestId: No PreviousRequestId, message: '/api/bookings/{everything} route does not require user to be authorized'
2026-06-29 12:42:18.390 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E6:00000002, previousRequestId: No PreviousRequestId, message: '/api/loyalty/{everything} route does not require user to be authorized'
2026-06-29 12:42:18.391 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E7:00000002, previousRequestId: No PreviousRequestId, message: '/api/payments/{everything} route does not require user to be authorized'
2026-06-29 12:42:18.393 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E5:00000002, previousRequestId: No PreviousRequestId, message: '/api/loyalty/{everything} route does not require user to be authorized'
