2026-06-26 08:59:27.548 +05:30 [INF] ApiGateway | Starting API Gateway...
2026-06-26 08:59:32.326 +05:30 [INF] ApiGateway | API Gateway started successfully on port 5000
2026-06-26 08:59:36.448 +05:30 [INF] ApiGateway | Now listening on: http://localhost:5000
2026-06-26 08:59:38.272 +05:30 [INF] ApiGateway | Application started. Press Ctrl+C to shut down.
2026-06-26 08:59:38.376 +05:30 [INF] ApiGateway | Hosting environment: Development
2026-06-26 08:59:38.488 +05:30 [INF] ApiGateway | Content root path: C:\Users\2492212\OneDrive - Cognizant\Desktop\qwerty\Sruthi_frontend\updated-UI-main\backend\ApiGateway
2026-06-26 09:01:10.796 +05:30 [DBG] ApiGateway | requestId: 0HNMJ6DEBU975:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-26 09:01:11.027 +05:30 [DBG] ApiGateway | requestId: 0HNMJ6DEBU975:00000002, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Hotels'
2026-06-26 09:01:11.316 +05:30 [DBG] ApiGateway | requestId: 0HNMJ6DEBU975:00000002, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/hotels/{everything}'
2026-06-26 09:01:11.449 +05:30 [INF] ApiGateway | requestId: 0HNMJ6DEBU975:00000002, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/hotels/{everything}'
2026-06-26 09:01:11.510 +05:30 [INF] ApiGateway | requestId: 0HNMJ6DEBU975:00000002, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/Hotels'.'
2026-06-26 09:01:11.530 +05:30 [INF] ApiGateway | requestId: 0HNMJ6DEBU975:00000002, previousRequestId: No PreviousRequestId, message: '/api/hotels/{everything} route does not require user to be authorized'
2026-06-26 09:01:11.623 +05:30 [DBG] ApiGateway | requestId: 0HNMJ6DEBU975:00000002, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5002/api/hotels'
2026-06-26 09:01:25.985 +05:30 [INF] ApiGateway | requestId: 0HNMJ6DEBU975:00000002, previousRequestId: No PreviousRequestId, message: '102 (unknown) status code of request URI: .'
2026-06-26 09:01:26.153 +05:30 [DBG] ApiGateway | requestId: 0HNMJ6DEBU975:00000002, previousRequestId: No PreviousRequestId, message: 'IHttpRequester returned an error, setting pipeline error'
2026-06-26 09:01:26.177 +05:30 [WRN] ApiGateway | requestId: 0HNMJ6DEBU975:00000002, previousRequestId: No PreviousRequestId, message: 'Error Code: RequestCanceled Message: The operation was canceled. errors found in ResponderMiddleware. Setting error response for request path:/api/Hotels, request method: GET'
2026-06-26 09:01:26.238 +05:30 [DBG] ApiGateway | requestId: 0HNMJ6DEBU975:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-26 09:01:43.827 +05:30 [DBG] ApiGateway | requestId: 0HNMJ6DEBU976:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-26 09:01:43.873 +05:30 [DBG] ApiGateway | requestId: 0HNMJ6DEBU976:00000002, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Hotels'
2026-06-26 09:01:43.892 +05:30 [DBG] ApiGateway | requestId: 0HNMJ6DEBU976:00000002, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/hotels/{everything}'
2026-06-26 09:01:44.220 +05:30 [INF] ApiGateway | requestId: 0HNMJ6DEBU976:00000002, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/hotels/{everything}'
2026-06-26 09:01:44.456 +05:30 [INF] ApiGateway | requestId: 0HNMJ6DEBU976:00000002, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/Hotels'.'
2026-06-26 09:01:44.650 +05:30 [INF] ApiGateway | requestId: 0HNMJ6DEBU976:00000002, previousRequestId: No PreviousRequestId, message: '/api/hotels/{everything} route does not require user to be authorized'
2026-06-26 09:01:44.770 +05:30 [DBG] ApiGateway | requestId: 0HNMJ6DEBU976:00000002, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5002/api/hotels'
2026-06-26 09:01:46.841 +05:30 [WRN] ApiGateway | requestId: 0HNMJ6DEBU976:00000002, previousRequestId: No PreviousRequestId, message: '500 (Internal Server Error) status code of request URI: http://localhost:5002/api/hotels.'
2026-06-26 09:01:46.958 +05:30 [DBG] ApiGateway | requestId: 0HNMJ6DEBU976:00000002, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-26 09:01:47.032 +05:30 [DBG] ApiGateway | requestId: 0HNMJ6DEBU976:00000002, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-26 09:01:47.059 +05:30 [DBG] ApiGateway | requestId: 0HNMJ6DEBU976:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
